IETF 116,"Yokohama, Japan & Online",2023
IETF 115,"London, UK & Online",2022
IETF 114,"Philadelphia, Pennsylvania & Online",2022
IETF 113,"Vienna, Austria & Online",2022
IETF 112,Online,2021
IETF 111,Online,2021
IETF 110,Online,2021
IETF 109,Online,2020
IETF 108,Online,2020
IETF 107,Virtual,2020
IETF 106,Singapore,2019
IETF 105,"Montreal, Canada",2019
IETF 104,"Prague, Czech Republic",2019
IETF 103,"Bangkok, Thailand",2018
IETF 102,"Montreal, Quebec, Canada",2018
IETF 101,"London, UK",2018
IETF 100,Singapore,2017
IETF 99,"Prague, Czech Republic",2017
IETF 98,"Chicago, IL, USA",2017
IETF 97,"Seoul, South Korea",2016
IETF 96,"Berlin, Germany",2016
IETF 95,"Buenos Aires, Argentina",2016
IETF 94,"Yokohama, Japan",2015
IETF 93,"Prague, Czech Republic",2015
IETF 92,"Dallas, TX, USA",2015
IETF 91,"Honolulu, HI, USA",2014
IETF 90,"Toronto, ON, Canada",2014
IETF 89,"London, UK",2014
IETF 88,"Vancouver, BC, Canada",2013
IETF 87,"Berlin, Germany",2013
IETF 86,"Orlando, FL, USA",2013
IETF 85,"Atlanta, GA, USA",2012
IETF 84,"Vancouver, BC, Canada",2012
IETF 83,"Paris, France",2012
IETF 82,"Taipei, Taiwan",2011
IETF 81,"Quebec City, Canada",2011
IETF 80,"Prague, Czech Republic",2011
IETF 79,"Beijing, China",2010
IETF 78,"Maastricht, Netherlands",2010
IETF 77,"Anaheim, CA, USA",2010
IETF 76,"Hiroshima, Japan",2009
IETF 75,"Stockholm, Sweden",2009
IETF 74,"San Francisco, CA, USA",2009
IETF 73,"Minneapolis, MN, USA",2008
IETF 72,"Dublin, Ireland",2008
IETF 71,"Philadelphia, PA, USA",2008
IETF 70,"Vancouver, BC, Canada",2007IETF 116,"Yokohama, Japan & Online",2023
IETF 115,"London, UK & Online",2022
IETF 114,"Philadelphia, Pennsylvania & Online",2022
IETF 113,"Vienna, Austria & Online",2022
IETF 112,Online,2021
IETF 111,Online,2021
IETF 110,Online,2021
IETF 109,Online,2020
IETF 108,Online,2020
IETF 107,Virtual,2020
IETF 106,Singapore,2019
IETF 105,"Montreal, Canada",2019
IETF 104,"Prague, Czech Republic",2019
IETF 103,"Bangkok, Thailand",2018
IETF 102,"Montreal, Quebec, Canada",2018
IETF 101,"London, UK",2018
IETF 100,Singapore,2017
IETF 99,"Prague, Czech Republic",2017
IETF 98,"Chicago, IL, USA",2017
IETF 97,"Seoul, South Korea",2016
IETF 96,"Berlin, Germany",2016
IETF 95,"Buenos Aires, Argentina",2016
IETF 94,"Yokohama, Japan",2015
IETF 93,"Prague, Czech Republic",2015
IETF 92,"Dallas, TX, USA",2015
IETF 91,"Honolulu, HI, USA",2014
IETF 90,"Toronto, ON, Canada",2014
IETF 89,"London, UK",2014
IETF 88,"Vancouver, BC, Canada",2013
IETF 87,"Berlin, Germany",2013
IETF 86,"Orlando, FL, USA",2013
IETF 85,"Atlanta, GA, USA",2012
IETF 84,"Vancouver, BC, Canada",2012
IETF 83,"Paris, France",2012
IETF 82,"Taipei, Taiwan",2011
IETF 81,"Quebec City, Canada",2011
IETF 80,"Prague, Czech Republic",2011
IETF 79,"Beijing, China",2010
IETF 78,"Maastricht, Netherlands",2010
IETF 77,"Anaheim, CA, USA",2010
IETF 76,"Hiroshima, Japan",2009
IETF 75,"Stockholm, Sweden",2009
IETF 74,"San Francisco, CA, USA",2009
IETF 73,"Minneapolis, MN, USA",2008
IETF 72,"Dublin, Ireland",2008
IETF 71,"Philadelphia, PA, USA",2008
IETF 70,"Vancouver, BC, Canada",2007