Meeting,Date,City,Country,EU as country
1,16.01.1986,San Diego,USA,USA
2,08.04.1986,Aberdeen,USA,USA
3,23.07.1986,Ann Arbor,USA,USA
4,15.10.1986,Menlo Park,USA,USA
5,04.02.1987,Moffett Field,USA,USA
6,22.04.1987,Boston,USA,USA
7,27.07.1987,McLean,USA,USA
8,02.11.1987,Boulder,USA,USA
9,01.03.1988,San Diego,USA,USA
10,15.06.1988,Annapolis,USA,USA
11,17.10.1988,Ann Arbor,USA,USA
12,18.01.1989,Austin,USA,USA
13,11.04.1989,Cocoa Beach,USA,USA
14,25.07.1989,Stanford,USA,USA
15,31.10.1989,Honolulu,USA,USA
16,06.02.1990,Tallahassee,USA,USA
17,01.05.1990,Pittsburgh,USA,USA
18,30.07.1990,Vancouver,CAN,CAN
19,03.12.1990,Boulder,USA,USA
20,11.03.1991,St. Louis,USA,USA
21,29.07.1991,Atlanta,USA,USA
22,18.11.1991,Santa Fe,USA,USA
23,16.03.1992,San Diego,USA,USA
24,13.07.1992,Cambridge,USA,USA
25,16.11.1992,Washington,USA,USA
26,29.03.1993,Columbus,USA,USA
27,12.07.1993,Amsterdam,NLD,EU
28,01.11.1993,Houston,USA,USA
29,28.03.1994,Seattle,USA,USA
30,25.07.1994,Toronto,CAN,CAN
31,05.12.1994,San Jose,USA,USA
32,03.04.1995,Danvers,USA,USA
33,17.07.1995,Stockholm,SWE,EU
34,04.12.1995,Dallas,USA,USA
35,04.03.1996,Los Angeles,USA,USA
36,24.06.1996,Montreal,CAN,CAN
37,09.12.1996,San Jose,USA,USA
38,07.04.1997,Memphis,USA,USA
39,11.08.1997,Munich,DEU,EU
40,08.12.1997,Washington,USA,USA
41,30.03.1998,Los Angeles,USA,USA
42,24.08.1998,Chicago,USA,USA
43,07.12.1998,Orlando,USA,USA
44,14.03.1999,Minneapolis,USA,USA
45,11.07.1999,Oslo,NOR,NOR
46,07.11.1999,Washington,USA,USA
47,26.03.2000,Adelaide,AUS,AUS
48,31.07.2000,Pittsburgh,USA,USA
49,10.12.2000,San Diego,USA,USA
50,18.03.2001,Minneapolis,USA,USA
51,05.08.2001,London,GBR,EU
52,09.12.2001,Salt Lake City,USA,USA
53,17.03.2002,Minneapolis,USA,USA
54,14.07.2002,Yokohama,JPN,JPN
55,17.11.2002,Atlanta,USA,USA
56,16.03.2003,San Francisco,USA,USA
57,13.07.2003,Vienna,AUT,EU
58,09.11.2003,Minneapolis,USA,USA
59,29.03.2004,Seoul,KOR,KOR
60,01.08.2004,San Diego,USA,USA
61,07.11.2004,Washington,USA,USA
62,06.03.2005,Minneapolis,USA,USA
63,31.07.2005,Paris,FRA,EU
64,06.11.2005,Vancouver,CAN,CAN
65,19.03.2006,Dallas,USA,USA
66,09.07.2006,Montreal,CAN,CAN
67,05.11.2006,San Diego,USA,USA
68,18.03.2007,Prague,CZE,EU
69,22.07.2007,Chicago,USA,USA
70,02.12.2007,Vancouver,CAN,CAN
71,09.03.2008,Philadelphia,USA,USA
72,27.07.2008,Dublin,IRL,EU
73,16.11.2008,Minneapolis,USA,USA
74,22.03.2009,San Francisco,USA,USA
75,26.07.2009,Stockholm,SWE,EU
76,08.11.2009,Hiroshima,JPN,JPN
77,21.03.2010,Anaheim,USA,USA
78,25.07.2010,Maastricht,NLD,EU
79,07.11.2010,Beijing,CHN,CHN
80,27.03.2011,Prague,CZE,EU
81,24.07.2011,Quebec,CAN,CAN
82,13.11.2011,Taipei,TWN,TWN
83,25.03.2012,Paris,FRA,EU
84,29.07.2012,"Vancouver, BC",CAN,CAN
85,04.11.2012,"Atlanta, GA, USA",USA,USA
86,10.03.2013,Orlando,USA,USA
87,28.07.2013,Berlin,DEU,EU
88,03.11.2013,Vancouver,CAN,CAN
89,02.03.2014,London,GBR,EU
90,20.07.2014,Toronto,CAN,CAN
91,09.11.2014,Honolulu,USA,USA
92,22.03.2015,Dallas,USA,USA
93,19.07.2015,Prague,CZE,EU
94,01.11.2015,Yokohama,JPN,JPN
95,03.04.2016,Buenos Aires,ARG,ARG
96,17.07.2016,Berlin,DEU,EU
97,13.11.2016,Seoul,KOR,KOR
98,26.03.2017,Chicago,USA,USA
99,16.07.2017,Prague,CZE,EU
100,11.11.2017,Singapore,SGP,SGP
101,17.03.2018,London,GBR,EU
102,14.07.2018,Montreal,CAN,CAN
103,03.11.2018,Bangkok,THA,THA
104,23.03.2019,Prague,CZE,EU
105,20.07.2019,Montreal,CAN,CAN
106,16.11.2019,Singapore,SGP,SGP
107,21.03.2020,Virtual,CAN,CAN
108,25.07.2020,Online,ESP,EU
109,14.11.2020,Online,THA,THA
110,06.03.2021,Online,CZE,EU
111,24.07.2021,Online,USA,USA
112,06.11.2021,Online,ESP,EU
113,19.03.2022,Vienna,AUT,EU
114,23.07.2022,Philadelphia,USA,USA
115,05.11.2022,London,GBR,GBR
116,25.03.2023,Yokohama,JPN,JPN